ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,fl_acc_camp,fl_acc_camp_4th,qt_acc_camp,qt_acc_camp_4th,Age,qt_months,qt_spent,pct_spent_wine,pct_spent_fruit,pct_spent_meat,pct_spent_fish,pct_spent_sweet,pct_spent_gold,qt_purchases,pct_purch_web,pct_purch_catalog,pct_purch_store,pct_deal_purchases,cluster
5524,1957,Graduation,Single,"58138,0",0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,0,0,0,0,63,"89,0",1529,"0,41530412034009156","0,05755395683453238","0,3570961412688031","0,11249182472204054","0,05755395683453238","0,05755395683453238",22,"0,36363636363636365","0,45454545454545453","0,18181818181818182","0,13636363636363635",1
2174,1954,Graduation,Single,"46344,0",1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,0,0,0,0,66,"70,0",21,"0,5238095238095238","0,047619047619047616","0,2857142857142857","0,09523809523809523","0,047619047619047616","0,2857142857142857",4,"0,25","0,25","0,5","0,5",1
4141,1965,Graduation,Together,"71613,0",0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,0,0,0,0,55,"77,0",734,"0,5803814713896458","0,0667574931880109","0,17302452316076294","0,15122615803814715","0,02861035422343324","0,05722070844686648",20,"0,4","0,1","0,5","0,05",0
6182,1984,Graduation,Together,"26646,0",1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,0,0,0,0,36,"71,0",48,"0,22916666666666666","0,08333333333333333","0,4166666666666667","0,20833333333333334","0,0625","0,10416666666666667",6,"0,3333333333333333","0,0","0,6666666666666666","0,3333333333333333",1
5324,1981,PhD,Married,"58293,0",1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,0,0,0,0,39,"72,0",407,"0,4250614250614251","0,10565110565110565","0,28992628992628994","0,11302211302211303","0,06633906633906633","0,036855036855036855",14,"0,35714285714285715","0,21428571428571427","0,42857142857142855","0,35714285714285715",1
7446,1967,Master,Together,"62513,0",0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,0,0,0,0,53,"76,0",702,"0,7407407407407407","0,05982905982905983","0,1396011396011396","0,0","0,05982905982905983","0,019943019943019943",20,"0,3","0,2","0,5","0,1",0
965,1971,Graduation,Divorced,"55635,0",0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,0,0,0,0,49,"86,0",563,"0,41740674955595025","0,11545293072824156","0,2912966252220249","0,08880994671403197","0,08703374777975133","0,047957371225577264",17,"0,4117647058823529","0,17647058823529413","0,4117647058823529","0,23529411764705882",1
6177,1985,PhD,Married,"33454,0",1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,0,0,0,0,35,"80,0",146,"0,5205479452054794","0,0684931506849315","0,3835616438356164","0,02054794520547945","0,00684931506849315","0,15753424657534246",8,"0,5","0,0","0,5","0,25",1
4855,1974,PhD,Together,"30351,0",1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,0,0,0,0,46,"80,0",44,"0,3181818181818182","0,0","0,5454545454545454","0,06818181818181818","0,06818181818181818","0,045454545454545456",5,"0,6","0,0","0,4","0,2",1
5899,1950,PhD,Together,"5648,0",1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,1,1,1,1,70,"70,0",36,"0,7777777777777778","0,0","0,16666666666666666","0,027777777777777776","0,027777777777777776","0,3611111111111111",1,"1,0","0,0","0,0","1,0",0
1994,1983,Graduation,Married,,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0,0,0,0,37,"74,0",18,"0,2777777777777778","0,2777777777777778","0,3333333333333333","0,0","0,1111111111111111","0,05555555555555555",3,"0,3333333333333333","0,0","0,6666666666666666","0,3333333333333333",2
387,1976,Basic,Married,"7500,0",0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,0,0,0,0,44,"86,0",45,"0,13333333333333333","0,35555555555555557","0,24444444444444444","0,24444444444444444","0,022222222222222223","0,35555555555555557",5,"0,4","0,0","0,6","0,2",3
2125,1959,Graduation,Divorced,"63033,0",0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,0,0,0,0,61,"74,0",1072,"0,18097014925373134","0,05690298507462686","0,44776119402985076","0,20988805970149255","0,1044776119402985","0,027985074626865673",15,"0,2","0,26666666666666666","0,5333333333333333","0,06666666666666667",1
8180,1952,Master,Divorced,"59354,0",1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,0,0,0,0,68,"74,0",296,"0,7871621621621622","0,006756756756756757","0,17905405405405406","0,010135135135135136","0,016891891891891893","0,0472972972972973",12,"0,5","0,08333333333333333","0,4166666666666667","0,25",0
2569,1987,Graduation,Married,"17323,0",0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,0,0,0,0,33,"87,0",41,"0,07317073170731707","0,34146341463414637","0,4146341463414634","0,14634146341463414","0,024390243902439025","0,12195121951219512",4,"0,25","0,0","0,75","0,25",2
2114,1946,PhD,Single,"82800,0",0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,1,1,2,1,74,"86,0",1270,"0,7921259842519685","0,01732283464566929","0,09055118110236221","0,046456692913385826","0,05354330708661417","0,03543307086614173",25,"0,28","0,24","0,48","0,04",0
9736,1980,Graduation,Married,"41850,0",1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,0,0,0,0,40,"85,0",92,"0,5760869565217391","0,05434782608695652","0,20652173913043478","0,021739130434782608","0,14130434782608695","0,043478260869565216",6,"0,5","0,0","0,5","0,5",0
4939,1946,Graduation,Together,"37760,0",0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,0,0,0,0,74,"89,0",289,"0,2906574394463668","0,01730103806228374","0,1314878892733564","0,5190311418685121","0,04152249134948097","0,09688581314878893",11,"0,36363636363636365","0,09090909090909091","0,5454545454545454","0,18181818181818182",3
6565,1949,Master,Married,"76995,0",0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1,1,1,1,71,"82,0",1606,"0,6301369863013698","0,049813200498132","0,31008717310087175","0,0","0,009962640099626401","0,1095890410958904",24,"0,4583333333333333","0,16666666666666666","0,375","0,08333333333333333",0
2278,1985,2n Cycle,Single,"33812,0",1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,0,0,0,0,35,"87,0",94,"0,0425531914893617","0,18085106382978725","0,20212765957446807","0,3191489361702128","0,2553191489361702","0,4148936170212766",6,"0,3333333333333333","0,16666666666666666","0,5","0,3333333333333333",3
9360,1982,Graduation,Married,"37040,0",0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,0,0,0,0,38,"90,0",268,"0,3208955223880597","0,007462686567164179","0,27238805970149255","0,2574626865671642","0,1417910447761194","0,1791044776119403",11,"0,36363636363636365","0,18181818181818182","0,45454545454545453","0,09090909090909091",3
5376,1979,Graduation,Married,"2447,0",1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,0,0,0,0,41,"85,0",1729,"0,000578368999421631","0,000578368999421631","0,9976865240023135","0,000578368999421631","0,000578368999421631","0,000578368999421631",28,"0,0","1,0","0,0","0,5357142857142857",1
1993,1949,PhD,Married,"58607,0",0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,1,1,1,1,71,"85,0",953,"0,9097586568730325","0,0","0,09024134312696747","0,0","0,0","0,01993704092339979",14,"0,14285714285714285","0,21428571428571427","0,6428571428571429","0,21428571428571427",0
4047,1954,PhD,Married,"65324,0",0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,0,0,0,0,66,"72,0",539,"0,712430426716141","0,0","0,18923933209647495","0,03896103896103896","0,059369202226345084","0,00927643784786642",17,"0,35294117647058826","0,11764705882352941","0,5294117647058824","0,17647058823529413",0
1409,1951,Graduation,Together,"40689,0",0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,0,0,0,0,69,"82,0",345,"0,782608695652174","0,008695652173913044","0,0782608695652174","0,11304347826086956","0,017391304347826087","0,28695652173913044",13,"0,5384615384615384","0,07692307692307693","0,38461538461538464","0,5384615384615384",0
7892,1969,Graduation,Single,"18589,0",0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,0,0,0,0,51,"85,0",62,"0,0967741935483871","0,06451612903225806","0,4032258064516129","0,24193548387096775","0,1935483870967742","0,20967741935483872",6,"0,3333333333333333","0,16666666666666666","0,5","0,3333333333333333",3
2404,1976,Graduation,Married,"53359,0",1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,0,0,0,0,44,"80,0",216,"0,8009259259259259","0,018518518518518517","0,1388888888888889","0,013888888888888888","0,027777777777777776","0,18981481481481483",10,"0,5","0,1","0,4","0,4",0
5255,1986,Graduation,Single,,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,0,0,0,0,34,"83,0",275,"0,01818181818181818","0,0036363636363636364","0,01090909090909091","0,01090909090909091","0,9563636363636364","1,3163636363636364",27,"1,0","0,0","0,0","0,0",2
9422,1989,Graduation,Married,"38360,0",1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,0,0,0,0,31,"80,0",121,"0,2975206611570248","0,01652892561983471","0,34710743801652894","0,1652892561983471","0,17355371900826447","0,08264462809917356",7,"0,2857142857142857","0,14285714285714285","0,5714285714285714","0,2857142857142857",1
1966,1965,PhD,Married,"84618,0",0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,1,0,1,0,55,"74,0",1672,"0,4090909090909091","0,05980861244019139","0,47906698564593303","0,012559808612440191","0,039473684210526314","0,0",25,"0,24","0,36","0,4","0,04",1
6864,1989,Master,Divorced,"10979,0",0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,0,0,0,0,31,"68,0",26,"0,3076923076923077","0,15384615384615385","0,38461538461538464","0,07692307692307693","0,07692307692307693","0,15384615384615385",6,"0,5","0,0","0,5","0,3333333333333333",1
3033,1963,Master,Together,"38620,0",0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,0,0,0,0,57,"80,0",229,"0,4890829694323144","0,07423580786026202","0,19213973799126638","0,14847161572052403","0,09606986899563319","0,388646288209607",10,"0,2","0,5","0,3","0,1",1
5710,1970,Graduation,Together,"40548,0",0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,1,1,1,1,50,"87,0",117,"0,9401709401709402","0,0","0,042735042735042736","0,017094017094017096","0,0","0,02564102564102564",7,"0,2857142857142857","0,14285714285714285","0,5714285714285714","0,2857142857142857",0
7373,1952,PhD,Divorced,"46610,0",0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,0,0,0,0,68,"87,0",259,"0,37065637065637064","0,04633204633204633","0,37065637065637064","0,1274131274131274","0,08494208494208494","0,16602316602316602",11,"0,36363636363636365","0,09090909090909091","0,5454545454545454","0,5454545454545454",1
8755,1946,Master,Married,"68657,0",0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,0,0,0,0,74,"83,0",1174,"0,41056218057921634","0,028960817717206135","0,40119250425894376","0,10136286201022146","0,05792163543441227","0,018739352640545145",17,"0,17647058823529413","0,29411764705882354","0,5294117647058824","0,058823529411764705",1
